date,price,price_for_inflation
2014-07,6.0,6.000000000000002
2014-08,5.99,5.962611417673634
2014-09,5.99,5.983960466461365
2014-10,5.99,5.981525925810134
2014-11,5.75,5.719079739256851
2014-12,4.99,4.939102327617202
2015-01,5.0,4.929147582498319
2015-02,4.99,4.912697941254631
2015-03,3.49,3.4541021712963693
2015-04,3.99,3.941599318441169
2015-05,3.49,3.43241617295337
2015-06,3.99,3.9141556330212133
2015-07,4.49,4.410933157211862
2015-08,4.99,4.920732363102031
2015-09,3.99,3.9297798221068927
2015-10,3.99,3.9083238498694723
2015-11,3.99,3.9208294383392475
2015-12,3.99,3.930746588297823
2016-01,3.99,3.9071699676415883
2016-02,3.99,3.9496764940363605
2016-03,3.99,3.9224199246533593
2016-04,3.99,3.9168688155570504
2016-05,3.99,3.946651451438934
2016-06,4.99,4.9192112832377175
2016-07,5.49,5.400618327054446
2016-08,5.49,5.416967063200513
2016-09,6.25,6.151224773725595
2016-10,6.49,6.406809179159307
2016-11,6.49,6.419744337277829
2016-12,5.99,5.909660158509325
2017-01,5.49,5.424948335964735
2017-02,7.49,7.420334839224025
2017-03,7.49,7.404469916055714
2017-04,7.49,7.382984946303794
2017-05,7.49,7.338434368698317
2017-06,7.49,7.338317284394492
2017-07,7.49,7.330297009582468
2017-08,7.49,7.342181066420722
2017-09,7.49,7.356933688702694
2017-10,7.49,7.352250316549687
2017-11,7.49,7.31653960388301
2017-12,7.99,7.769113739038002
2018-01,7.49,7.347742570852418
2018-02,7.49,7.42864782479561
2018-03,9.49,9.404180409873225
2018-04,9.49,9.422056400556503
2018-05,9.49,9.434443497834957
2018-06,9.49,9.354780369229807
2018-07,9.49,9.302116662237577
2018-08,9.49,9.167342076878587
2018-09,9.49,9.268219036751029
2018-10,9.49,9.285724156258304
2018-11,9.49,9.260430742054995
2018-12,9.49,9.2393652592581
2019-01,7.49,7.351255099967173
2019-02,7.99,7.848175657719905
2019-03,9.49,9.196418377077114
2019-04,9.49,9.14538650325929
2019-05,9.49,9.148501821137703
2019-06,9.49,9.23424723702928
2019-07,9.49,9.247598599365338
2019-08,9.49,9.255683591002173
2019-09,9.49,9.230983570680467
2019-10,11.99,11.46885455909709
2019-11,11.99,11.533892310578231
2019-12,11.99,11.54307631583061
