date,brand,count
2014,Loft,1430
2014,Chico's,1317
2014,Michael Kors,1178
2014,Ralph Lauren,1107
2014,Talbots,1097
2014,Harley Davidson,975
2014,Coral Bay,818
2014,Banana Republic,761
2014,Jones New York,653
2014,Gloria Vanderbilt,523
2014,Liz Claiborne,496
2014,Calvin Klein,381
2014,Reel Legends,374
2014,Nue Options,336
2014,Columbia,295
2015,Coral Bay,10851
2015,Gloria Vanderbilt,5342
2015,Michael Kors,4118
2015,Loft,3504
2015,Dept 222,3451
2015,Reel Legends,3009
2015,Caribbean Joe,2894
2015,Jones New York,2812
2015,Nue Options,2700
2015,Ralph Lauren,2621
2015,Harley Davidson,2507
2015,Chico's,2436
2015,Talbots,2173
2015,Calvin Klein,1910
2015,Banana Republic,1830
2016,Reel Legends,7296
2016,Michael Kors,5520
2016,Loft,5436
2016,Coral Bay,5324
2016,American Eagle,3220
2016,Dept 222,2635
2016,Gloria Vanderbilt,2537
2016,Harley Davidson,2470
2016,Ralph Lauren,2373
2016,Talbots,2361
2016,Banana Republic,2193
2016,Calvin Klein,1968
2016,Jones New York,1881
2016,Chico's,1834
2016,Under Armour,1717
2017,Coral Bay,43768
2017,Caribbean Joe,16567
2017,Gloria Vanderbilt,14507
2017,Reel Legends,14493
2017,Dept 222,12731
2017,Loft,11843
2017,Alia,8714
2017,Nue Options,6832
2017,Michael Kors,6634
2017,Talbots,6521
2017,American Eagle,6348
2017,Old Navy,5968
2017,Rafaella,5737
2017,Jones New York,5610
2017,Hearts of Palm,4630
2018,Coral Bay,167763
2018,Dept 222,97194
2018,Gloria Vanderbilt,75636
2018,Caribbean Joe,61778
2018,Reel Legends,54135
2018,Alia,46888
2018,Nue Options,35570
2018,Hearts of Palm,34736
2018,Rafaella,24595
2018,Loft,19502
2018,Old Navy,8782
2018,Liz Claiborne,8319
2018,Talbots,7777
2018,American Eagle,7746
2018,Wall Flower,7319
2019,Coral Bay,110759
2019,Reel Legends,84299
2019,Dept 222,52482
2019,Rafaella,29720
2019,Gloria Vanderbilt,28161
2019,Hearts of Palm,24803
2019,Caribbean Joe,21818
2019,Alia,19466
2019,Loft,14443
2019,LuLaRoe,11434
2019,Nue Options,10749
2019,Max Studio,9145
2019,Hue,8517
2019,American Eagle,7591
2019,Lucky Brand,6684
