us_state,date,Count,MedianPrice,DesignerCount
Arizona,2014-07,1,26.01,1.0
Arizona,2014-10,1,7.0,0.0
Arizona,2014-11,5,5.0,0.0
Arizona,2014-12,2,30.885,0.0
Arizona,2015-02,1,5.0,0.0
Arizona,2015-03,9,5.0,0.0
Arizona,2015-04,5,5.0,0.0
Arizona,2015-05,6,5.0,0.0
Arizona,2015-06,6,5.0,0.0
Arizona,2015-07,2,5.0,0.0
Arizona,2015-08,10,5.0,0.0
Arizona,2015-09,2,5.5,0.0
Arizona,2015-10,2,10.5,0.0
Arizona,2015-11,12,5.0,0.0
Arizona,2015-12,27,5.0,0.0
Arizona,2016-01,30,5.0,1.0
Arizona,2016-02,4,11.0,0.0
Arizona,2016-03,40,6.99,0.0
Arizona,2016-04,39,5.99,0.0
Arizona,2016-05,7,5.99,0.0
Arizona,2016-06,14,5.99,0.0
Arizona,2016-07,4,5.99,0.0
Arizona,2016-08,14,6.99,0.0
Arizona,2016-09,45,6.99,0.0
Arizona,2016-10,24,6.99,0.0
Arizona,2016-11,17,6.99,0.0
Arizona,2016-12,14,6.99,0.0
Arizona,2017-01,8,6.99,0.0
Arizona,2017-02,5,6.99,0.0
Arizona,2017-03,2,18.549999999999997,0.0
Arizona,2017-04,1,6.99,0.0
Arizona,2017-05,1,6.99,0.0
Arizona,2017-07,1,6.99,0.0
Arizona,2017-08,2,6.99,0.0
Arizona,2017-09,3,6.99,0.0
Arizona,2017-10,3,6.99,0.0
Arizona,2017-11,11,6.99,0.0
Arizona,2017-12,1,12.0,0.0
Arizona,2018-03,4,6.99,0.0
Arizona,2018-04,1,7.99,0.0
Arizona,2018-05,1,8.99,0.0
Arizona,2018-06,9,6.99,0.0
Arizona,2018-07,21,6.99,0.0
Arizona,2018-08,5,6.99,0.0
Arizona,2018-09,4,8.99,0.0
Arizona,2018-10,19,6.99,0.0
Arizona,2018-11,16,6.99,0.0
Arizona,2018-12,4,6.99,0.0
Arizona,2019-01,4,6.99,0.0
Arizona,2019-02,3,13.99,0.0
Arizona,2019-06,3,12.99,0.0
Arizona,2019-07,6,12.99,1.0
Arizona,2019-08,7,7.99,0.0
Arizona,2019-09,2,9.99,0.0
California,2014-07,331,9.99,7.0
California,2014-08,284,9.99,5.0
California,2014-09,213,9.99,3.0
California,2014-10,214,9.99,3.0
California,2014-11,224,9.99,3.0
California,2014-12,236,9.99,0.0
California,2015-01,281,9.99,7.0
California,2015-02,210,9.99,2.0
California,2015-03,271,9.99,12.0
California,2015-04,252,9.99,9.0
California,2015-05,422,8.99,8.0
California,2015-06,422,9.95,6.0
California,2015-07,502,8.99,7.0
California,2015-08,610,8.99,3.0
California,2015-09,560,8.99,5.0
California,2015-10,578,8.99,9.0
California,2015-11,488,8.99,1.0
California,2015-12,500,8.99,9.0
California,2016-01,749,9.95,6.0
California,2016-02,548,9.95,11.0
California,2016-03,494,9.99,10.0
California,2016-04,870,9.99,8.0
California,2016-05,658,9.95,1.0
California,2016-06,747,9.0,0.0
California,2016-07,731,9.99,5.0
California,2016-08,667,9.99,4.0
California,2016-09,457,9.95,5.0
California,2016-10,426,9.99,4.0
California,2016-11,375,9.99,1.0
California,2016-12,256,9.99,2.0
California,2017-01,269,9.99,3.0
California,2017-02,230,9.99,3.0
California,2017-03,205,9.99,2.0
California,2017-04,346,9.99,2.0
California,2017-05,460,9.95,1.0
California,2017-06,214,9.99,0.0
California,2017-07,311,9.95,1.0
California,2017-08,675,5.99,2.0
California,2017-09,534,5.99,0.0
California,2017-10,526,4.99,2.0
California,2017-11,409,1.0,2.0
California,2017-12,447,9.99,2.0
California,2018-01,348,8.99,1.0
California,2018-02,219,8.99,1.0
California,2018-03,359,8.99,2.0
California,2018-04,317,8.99,2.0
California,2018-05,301,7.99,7.0
California,2018-06,456,7.99,4.0
California,2018-07,444,7.99,5.0
California,2018-08,640,7.99,5.0
California,2018-09,426,7.99,3.0
California,2018-10,547,7.99,3.0
California,2018-11,445,7.99,3.0
California,2018-12,680,7.99,6.0
California,2019-01,1044,7.99,4.0
California,2019-02,1182,7.99,7.0
California,2019-03,1511,7.99,8.0
California,2019-04,1133,7.99,8.0
California,2019-05,805,7.99,12.0
California,2019-06,711,7.99,8.0
California,2019-07,678,9.99,1.0
California,2019-08,1359,9.99,1.0
California,2019-09,117,7.99,0.0
Carolina,2014-07,65,7.0,0.0
Carolina,2014-08,81,7.0,0.0
Carolina,2014-09,44,7.0,0.0
Carolina,2014-10,81,7.0,0.0
Carolina,2014-11,64,7.0,0.0
Carolina,2014-12,91,7.0,0.0
Carolina,2015-01,59,7.0,0.0
Carolina,2015-02,56,7.0,0.0
Carolina,2015-03,80,7.0,0.0
Carolina,2015-04,102,7.0,0.0
Carolina,2015-05,113,7.0,0.0
Carolina,2015-06,134,7.0,0.0
Carolina,2015-07,211,5.0,1.0
Carolina,2015-08,158,6.99,0.0
Carolina,2015-09,140,6.99,0.0
Carolina,2015-10,111,6.99,0.0
Carolina,2015-11,146,6.99,0.0
Carolina,2015-12,156,6.99,0.0
Carolina,2016-01,215,6.99,0.0
Carolina,2016-02,155,6.99,0.0
Carolina,2016-03,186,6.99,0.0
Carolina,2016-04,266,6.99,0.0
Carolina,2016-05,170,6.99,0.0
Carolina,2016-06,206,6.99,0.0
Carolina,2016-07,170,6.99,0.0
Carolina,2016-08,104,6.99,0.0
Carolina,2016-09,124,6.99,0.0
Carolina,2016-10,116,6.99,0.0
Carolina,2016-11,126,7.99,0.0
Carolina,2016-12,191,7.99,0.0
Carolina,2017-01,165,7.99,0.0
Carolina,2017-02,344,7.99,0.0
Carolina,2017-03,183,7.99,0.0
Carolina,2017-04,195,7.99,0.0
Carolina,2017-05,90,7.99,0.0
Carolina,2017-06,95,7.99,0.0
Carolina,2017-07,142,7.99,0.0
Carolina,2017-08,185,7.99,0.0
Carolina,2017-09,217,7.99,0.0
Carolina,2017-10,178,7.99,0.0
Carolina,2017-11,233,7.99,0.0
Carolina,2017-12,539,7.99,0.0
Carolina,2018-01,342,7.99,0.0
Carolina,2018-02,620,4.99,0.0
Carolina,2018-03,619,4.99,0.0
Carolina,2018-04,407,4.99,0.0
Carolina,2018-05,326,7.99,0.0
Carolina,2018-06,420,7.99,0.0
Carolina,2018-07,171,7.99,0.0
Carolina,2018-08,340,7.99,0.0
Carolina,2018-09,191,7.99,0.0
Carolina,2018-10,365,7.99,0.0
Carolina,2018-11,344,7.99,0.0
Carolina,2018-12,377,7.99,0.0
Carolina,2019-01,407,7.99,0.0
Carolina,2019-02,264,7.99,0.0
Carolina,2019-03,594,7.99,0.0
Carolina,2019-04,918,4.99,0.0
Carolina,2019-05,853,4.99,1.0
Carolina,2019-06,1337,4.99,0.0
Carolina,2019-07,938,4.99,0.0
Carolina,2019-08,917,4.99,0.0
Carolina,2019-09,311,7.99,0.0
Colorado,2014-07,7,9.99,0.0
Colorado,2014-08,3,11.99,0.0
Colorado,2014-09,5,9.99,0.0
Colorado,2014-10,12,9.99,0.0
Colorado,2014-11,3,9.99,0.0
Colorado,2014-12,2,9.99,0.0
Colorado,2015-01,7,5.99,0.0
Colorado,2015-02,2,8.49,1.0
Colorado,2015-04,4,8.99,0.0
Colorado,2015-05,1,9.99,0.0
Colorado,2015-07,1,11.99,0.0
Colorado,2015-08,6,9.99,0.0
Colorado,2015-09,1,5.99,0.0
Colorado,2015-10,8,5.99,0.0
Colorado,2015-11,2,11.495000000000001,0.0
Colorado,2015-12,1,23.22,0.0
Colorado,2016-01,7,7.99,1.0
Colorado,2016-02,1,16.39,0.0
Colorado,2016-03,2,46.995,0.0
Colorado,2016-04,3,7.99,0.0
Colorado,2016-05,1,7.99,0.0
Colorado,2016-06,1,22.0,0.0
Colorado,2016-07,6,9.99,0.0
Colorado,2016-09,1,8.99,0.0
Colorado,2016-10,3,7.99,0.0
Colorado,2016-11,5,7.99,0.0
Colorado,2016-12,6,7.99,0.0
Colorado,2017-01,6,7.99,0.0
Colorado,2017-02,18,9.99,0.0
Colorado,2017-03,14,7.99,0.0
Colorado,2017-04,6,7.99,0.0
Colorado,2017-05,2,12.495000000000001,0.0
Colorado,2017-06,10,7.99,0.0
Colorado,2017-07,3,7.99,0.0
Colorado,2017-08,5,7.99,0.0
Colorado,2017-10,1,16.0,0.0
Colorado,2017-11,3,7.99,0.0
Colorado,2017-12,10,9.99,0.0
Colorado,2018-01,7,7.99,0.0
Colorado,2018-02,16,7.99,0.0
Colorado,2018-03,26,7.99,0.0
Colorado,2018-04,78,7.99,3.0
Colorado,2018-05,77,7.99,0.0
Colorado,2018-06,40,7.99,0.0
Colorado,2018-07,19,7.99,0.0
Colorado,2018-08,48,7.99,0.0
Colorado,2018-09,54,7.99,0.0
Colorado,2018-10,96,7.99,0.0
Colorado,2018-11,83,7.99,0.0
Colorado,2018-12,132,7.99,0.0
Colorado,2019-01,135,7.99,1.0
Colorado,2019-02,145,7.99,1.0
Colorado,2019-03,94,7.99,0.0
Colorado,2019-04,134,7.99,0.0
Colorado,2019-05,200,7.99,0.0
Colorado,2019-06,113,7.99,0.0
Colorado,2019-07,251,7.99,0.0
Colorado,2019-08,421,7.99,0.0
Colorado,2019-09,79,7.99,0.0
Florida,2014-07,1639,7.99,7.0
Florida,2014-08,1722,7.99,7.0
Florida,2014-09,603,7.99,2.0
Florida,2014-10,1723,7.99,4.0
Florida,2014-11,1252,7.99,3.0
Florida,2014-12,1199,7.99,6.0
Florida,2015-01,1689,6.99,2.0
Florida,2015-02,1636,7.99,5.0
Florida,2015-03,1829,7.98,0.0
Florida,2015-04,1521,6.99,3.0
Florida,2015-05,1024,6.99,1.0
Florida,2015-06,1164,6.99,1.0
Florida,2015-07,1496,4.99,1.0
Florida,2015-08,1783,6.99,5.0
Florida,2015-09,1172,4.99,2.0
Florida,2015-10,761,7.99,2.0
Florida,2015-11,679,7.99,4.0
Florida,2015-12,767,7.99,7.0
Florida,2016-01,757,7.99,5.0
Florida,2016-02,525,7.99,4.0
Florida,2016-03,589,7.99,7.0
Florida,2016-04,962,6.99,5.0
Florida,2016-05,646,7.99,8.0
Florida,2016-06,803,7.99,3.0
Florida,2016-07,929,7.99,8.0
Florida,2016-08,632,7.99,5.0
Florida,2016-09,694,7.99,2.0
Florida,2016-10,1112,6.99,4.0
Florida,2016-11,668,6.99,6.0
Florida,2016-12,692,7.99,3.0
Florida,2017-01,559,7.99,2.0
Florida,2017-02,736,7.99,7.0
Florida,2017-03,547,7.99,2.0
Florida,2017-04,654,7.99,1.0
Florida,2017-05,827,7.99,4.0
Florida,2017-06,997,7.99,23.0
Florida,2017-07,1369,7.99,5.0
Florida,2017-08,1886,7.99,5.0
Florida,2017-09,1977,3.99,7.0
Florida,2017-10,1553,7.99,8.0
Florida,2017-11,1595,6.99,10.0
Florida,2017-12,1874,6.99,9.0
Florida,2018-01,1466,6.99,8.0
Florida,2018-02,1648,6.99,9.0
Florida,2018-03,1640,5.99,7.0
Florida,2018-04,773,7.99,8.0
Florida,2018-05,1376,6.99,9.0
Florida,2018-06,1761,6.99,8.0
Florida,2018-07,1797,6.99,10.0
Florida,2018-08,2768,5.99,18.0
Florida,2018-09,1790,6.99,9.0
Florida,2018-10,2639,6.99,11.0
Florida,2018-11,2059,5.99,2.0
Florida,2018-12,1631,5.99,5.0
Florida,2019-01,2042,6.99,4.0
Florida,2019-02,1626,7.99,6.0
Florida,2019-03,1854,7.99,9.0
Florida,2019-04,1654,6.99,11.0
Florida,2019-05,1811,6.99,4.0
Florida,2019-06,2049,5.99,8.0
Florida,2019-07,2126,6.99,8.0
Florida,2019-08,2547,6.99,9.0
Florida,2019-09,269,7.99,1.0
Florida,2019-10,1,6.99,0.0
Georgia,2018-01,5,9.99,0.0
Georgia,2018-02,18,9.99,0.0
Georgia,2018-03,16,9.99,0.0
Georgia,2018-04,85,9.99,0.0
Georgia,2018-05,52,7.99,0.0
Georgia,2018-06,1,9.99,0.0
Georgia,2018-08,10,9.99,0.0
Georgia,2018-09,3,12.99,0.0
Georgia,2018-11,1,12.99,0.0
Georgia,2018-12,4,11.49,0.0
Georgia,2019-01,4,8.99,0.0
Georgia,2019-02,3,7.99,0.0
Georgia,2019-03,1,7.99,0.0
Georgia,2019-04,1,12.98,0.0
Idaho,2014-07,1,7.99,0.0
Idaho,2014-10,7,7.99,0.0
Idaho,2014-12,6,7.99,0.0
Idaho,2015-01,7,12.0,0.0
Idaho,2015-03,7,7.99,0.0
Idaho,2015-04,2,7.99,0.0
Idaho,2015-05,1,7.99,0.0
Idaho,2015-07,5,7.99,0.0
Idaho,2015-08,4,9.49,0.0
Idaho,2015-09,6,7.99,0.0
Idaho,2015-11,7,15.5,0.0
Idaho,2015-12,9,9.99,0.0
Idaho,2016-01,16,7.99,0.0
Idaho,2016-02,8,7.99,0.0
Idaho,2016-03,11,9.0,0.0
Idaho,2016-04,8,13.0,0.0
Idaho,2016-05,8,7.99,0.0
