us_state,brand,price
Arizona,White House Black Market,6.99
California,Michael Kors,8.99
Carolina,Loft,7.99
Colorado,White House Black Market,7.99
Florida,Loft,6.99
Georgia,Chico's,9.99
Idaho,Patagonia,7.99
Illinois,Talbots,6.99
Indiana,Talbots,8.99
Iowa,Under Armour,6.99
Louisiana,Michael Kors,8.95
Maine,Talbots,10.0
Maryland,Loft,9.99
Michegan,Coldwater Creek,7.99
Michigan,Chico's,9.95
Minnesota,LuLaRoe,6.99
Mississippi,Loft,6.95
Missouri,White House Black Market,9.0
Montana,Talbots,7.99
Nevada,White House Black Market,9.95
New Jersey,Talbots,9.99
New York,Talbots,8.99
Ohio,Under Armour,5.95
Oregon,Coldwater Creek,5.0
Pennsylvania,Dept 222,9.49
South Carolina,Michael Kors,7.99
Tennessee,Under Armour,4.97
Texas,Talbots,9.0
Virginia,LuLaRoe,6.99
Washington,Michael Kors,7.99
West Virginia,LuLaRoe,9.99
Wisconsin,Loft,9.99
