brand,date,count,median
Abercrombie & Fitch,2014-07,12,8.49
Abercrombie & Fitch,2014-08,15,7.0
Abercrombie & Fitch,2014-09,6,7.495
Abercrombie & Fitch,2014-10,5,7.99
Abercrombie & Fitch,2014-11,2,5.0
Abercrombie & Fitch,2014-12,12,5.0
Abercrombie & Fitch,2015-01,12,7.99
Abercrombie & Fitch,2015-02,9,6.99
Abercrombie & Fitch,2015-03,23,6.99
Abercrombie & Fitch,2015-04,22,6.99
Abercrombie & Fitch,2015-05,13,6.99
Abercrombie & Fitch,2015-06,17,6.99
Abercrombie & Fitch,2015-07,20,5.995
Abercrombie & Fitch,2015-08,18,6.99
Abercrombie & Fitch,2015-09,21,6.99
Abercrombie & Fitch,2015-10,16,6.99
Abercrombie & Fitch,2015-11,20,7.99
Abercrombie & Fitch,2015-12,26,7.49
Abercrombie & Fitch,2016-01,19,6.99
Abercrombie & Fitch,2016-02,27,6.99
Abercrombie & Fitch,2016-03,22,7.495
Abercrombie & Fitch,2016-04,43,3.99
Abercrombie & Fitch,2016-05,42,3.99
Abercrombie & Fitch,2016-06,52,4.49
Abercrombie & Fitch,2016-07,91,5.49
Abercrombie & Fitch,2016-08,56,4.99
Abercrombie & Fitch,2016-09,90,5.49
Abercrombie & Fitch,2016-10,82,6.49
Abercrombie & Fitch,2016-11,71,3.99
Abercrombie & Fitch,2016-12,57,5.49
Abercrombie & Fitch,2017-01,136,5.49
Abercrombie & Fitch,2017-02,158,7.49
Abercrombie & Fitch,2017-03,144,7.49
Abercrombie & Fitch,2017-04,149,7.49
Abercrombie & Fitch,2017-05,114,7.49
Abercrombie & Fitch,2017-06,84,7.49
Abercrombie & Fitch,2017-07,44,7.49
Abercrombie & Fitch,2017-08,104,7.49
Abercrombie & Fitch,2017-09,89,7.49
Abercrombie & Fitch,2017-10,84,7.49
Abercrombie & Fitch,2017-11,79,7.49
Abercrombie & Fitch,2017-12,39,7.99
Abercrombie & Fitch,2018-01,90,7.49
Abercrombie & Fitch,2018-02,87,7.49
Abercrombie & Fitch,2018-03,87,5.99
Abercrombie & Fitch,2018-04,86,9.49
Abercrombie & Fitch,2018-05,146,9.49
Abercrombie & Fitch,2018-06,178,7.49
Abercrombie & Fitch,2018-07,142,7.49
Abercrombie & Fitch,2018-08,77,4.99
Abercrombie & Fitch,2018-09,100,9.99
Abercrombie & Fitch,2018-10,84,9.49
Abercrombie & Fitch,2018-11,155,9.49
Abercrombie & Fitch,2018-12,191,9.49
Abercrombie & Fitch,2019-01,199,9.49
Abercrombie & Fitch,2019-02,154,9.49
