date,count
2014-07,3570
2014-08,3853
2014-09,1753
2014-10,3688
2014-11,3253
2014-12,3514
2015-01,3714
2015-02,4064
2015-03,6462
2015-04,6490
2015-05,6139
2015-06,5735
2015-07,6901
2015-08,6114
2015-09,6627
2015-10,8225
2015-11,9034
2015-12,11233
2016-01,11608
2016-02,6689
2016-03,6940
2016-04,11270
2016-05,5731
2016-06,7049
2016-07,8808
2016-08,6818
2016-09,6923
2016-10,7868
2016-11,9896
2016-12,10886
2017-01,13819
2017-02,13850
2017-03,13506
2017-04,14535
2017-05,13353
2017-06,15874
2017-07,17059
2017-08,22299
2017-09,28005
2017-10,29316
2017-11,41717
2017-12,83017
2018-01,91185
2018-02,79555
2018-03,77956
2018-04,75239
2018-05,74112
2018-06,84701
2018-07,68628
2018-08,77169
2018-09,73449
2018-10,98285
2018-11,61734
2018-12,65374
2019-01,65510
2019-02,36872
2019-03,64744
2019-04,79106
2019-05,99761
2019-06,96743
2019-07,108859
2019-08,114859
2019-09,4846
2019-10,5452
2019-11,860
2019-12,2061
